Date,Goal1Nom,Goal1Rel,Goal1Lvl,Perf1,ParTelic,DesToResp1,DesToResp2,DesToResp3,DesToResp4Reco,DesToRespScl,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,PA,NA,PercepAcc1,PercepAcc2,PercepAcc3,PercepAcc4Reco,PercepAcc5,PercepAccScl,DisJust1,DisJust2,DisJust3,DisJust4,DisJustScl,Goal2Nom,Goal2Rel,Goal2Lvl,Perf2,ConfJudg,Similar,ExplainDiff,ExplainFind,Ethnicity,Latino,Age,Gender,Education,Occupation,CurrentTenure,WorkExp,FdbkType,FdbkTypeN,FdbkValence,FdbkValN,MetGoal,FdbkAccuracy,FdbkAccN,GoalRevision,PerfResidGain,GoalResidGain,PerfRevision,Condition,ConditionN
10/1/17 18:16,3,,4,1,Paratelic,2,1,2,2,1.75,4,1,1,1,1,2,1,2,1,1,2,4,2,1,2,1,5,2,1,1,2,1.6,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,Not at All/Very Low,Not at All/Very Low,Most projects don't do something unexpected.,I searched google,White,No,33,Male,"Some college, no degree",Other,0,0,nominal,1,positive,1,0,inaccurate,2,-2,0.37,-0.98,1,nominalpositiveinaccurate,4
10/8/17 19:22,,100%,7,2,Telic,2,2,4,3,2.75,2,2,1,1,1,1,1,1,4,1,2,4,1,2,1,1,4,1,3,1,2.3,1.2,3,3,4,3,2,3,4,4,4,4,4,,100%,7,1,Moderate,Not at All/Very Low,I never had to look these colors up before,I just did what you said and Googled it!,White,No,33,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",1,17,relative,2,negative,2,0,accurate,1,0,-0.79,1.24,-1,relativenegativeaccurate,5
9/24/17 19:30,,60%,5,1,Telic,4,3,4,4,3.75,4,2,1,2,2,1,1,1,1,1,2,5,2,1,1,2,4,2,1,1,2.2,1.5,5,5,4,4,4,4.4,3,5,4,4,4,,20%,3,2,Very High,Not at All/Very Low,I believe this is the first where I had to look for information outside of the survey and be timed in doing so.,"For example: searched for ""RGB codes for Arizona State University.""  Clicked on the most promising link, toggled back to survey to see which colors required an answer and toggled back to find that info.  Toggled back to survey again to enter numeric values.",White,No,54,Male,Associate's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",4,35,relative,2,negative,2,0,accurate,1,-2,0.37,-0.89,1,relativenegativeaccurate,5
9/24/17 19:36,,60%,5,2,Paratelic,4,4,4,4,4,3,4,4,1,3,1,1,1,3,4,1,3,1,3,1,5,3,1,2,1,3.3,1.3,4,4,4,2,4,3.6,4,4,4,4,4,,60%,5,3,Moderate,Not at All/Very Low,I have never been asked to do a task like that,"Googled ""rgb 'university name'""",White,No,26,Female,Associate's degree,"First/mid level officials and managers (e.g., Operations Manager, Vice President)",4,10,relative,2,positive,1,0,inaccurate,2,0,0.92,0.6,1,relativepositiveinaccurate,8
9/24/17 19:36,4,,5,4,Paratelic,5,3,3,4,3.75,3,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,,6,5,Very High,Moderate,,"Google ""RGB codes for [insert school here].""",White,No,29,Male,"Some college, no degree",Other,0,6,nominal,1,positive,1,1,accurate,1,1,1.07,1.35,1,nominalpositiveaccurate,3
10/15/17 16:58,,80%,6,1,Paratelic,4,2,2,4,3,4,4,4,2,1,4,1,2,2,1,3,4,4,1,4,5,4,4,3,1,2.9,2.9,5,3,4,4,5,4.2,2,4,4,4,3.5,,40%,4,2,Moderate,Not at All/Very Low,I haven't completed any internet search tasks that were timed ,I searched the university name with RBG at the end,Black or African American,No,28,Female,Bachelor's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",2,6,relative,2,negative,2,0,accurate,1,-2,0.37,-0.65,1,relativenegativeaccurate,5
10/15/17 15:48,3,,4,1,Telic,3,3,3,3,3,2,1,3,1,3,1,1,1,3,2,1,4,1,2,1,4,3,1,2,1,2.8,1,2,2,3,2,2,2.2,4,2,3,3,3,2,,3,1,Not at All/Very Low,Not at All/Very Low,I've never done one that asked me to look up color codes,"I googled ""rgb code for....."" and clicked the first link that had an rgb code visible",White,No,35,Female,"Some college, no degree","Service workers (e.g., Cook, Hairdresser)",1,1,nominal,1,positive,1,0,inaccurate,2,-1,-0.49,-0.23,0,nominalpositiveinaccurate,4
9/24/17 19:34,3,,4,4,Paratelic,1,1,1,1,1,1,3,3,2,2,1,1,4,1,1,4,2,1,1,1,1,2,1,2,1,1.6,1.9,1,1,1,1,1,1,1,1,1,1,1,0,,1,2,Not at All/Very Low,Not at All/Very Low,I've never need to look up RGB codes on mTurk and I don't usually get incorrect feedback on purpose.,Google. First result always had them.,White,No,39,Male,Bachelor's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",1,20,nominal,1,negative,2,1,inaccurate,2,-3,-1.51,-1.72,-2,nominalnegativeinaccurate,2
9/24/17 19:45,4,,5,4,Paratelic,1,1,1,1,1,1,3,1,2,1,1,1,4,1,1,5,3,1,1,1,1,4,1,1,1,1.5,2,1,3,1,1,1,1.4,1,1,1,1,1,0,,1,2,Very High,Moderate,,I Googled them and clicked on official pages first,White,Yes,26,Male,Bachelor's degree,Other,1,5,nominal,1,negative,2,1,inaccurate,2,-4,-1.51,-2.39,-2,nominalnegativeinaccurate,2
9/24/17 19:35,,40%,4,2,Telic,4,4,3,5,4,4,2,3,1,3,1,3,1,3,3,1,3,1,4,3,3,3,3,3,2,3.2,1.8,4,4,4,5,4,4.2,4,4,4,4,4,,40%,4,2,Very High,Low,I have not participated in things where I have to research things on the web during a survey before. ,I google searched the name of the school followed by RGB code as instructed on the opening page. ,White,No,29,Female,Bachelor's degree,"Executive/senior level officials and managers (e.g., Chief Operating Officer)",5,10,relative,2,positive,1,0,inaccurate,2,0,0.06,0.52,0,relativepositiveinaccurate,8
9/24/17 19:42,,60%,5,3,Telic,3,2,2,3,2.5,3,1,1,2,2,1,1,1,1,2,1,2,1,1,1,4,3,1,3,1,2.2,1.1,3,3,2,3,2,2.6,2,2,2,3,2.25,,20%,3,4,Moderate,Not at All/Very Low,haven't done any task like this before.,the codes were listed on the sites that showed up when you ran a search for them. ,White,Yes,36,Male,Associate's degree,"Craft workers (e.g., Carpenter, Auto Mechanic)",5,16,relative,2,negative,2,1,inaccurate,2,-2,1.02,-0.89,1,relativenegativeinaccurate,6
9/24/17 19:44,3,,4,0,Telic,4,2,4,3,3.25,2,2,1,2,1,2,1,2,1,1,2,4,2,1,1,4,4,1,3,1,2.2,1.6,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,Not at All/Very Low,Not at All/Very Low,I have never been asked to search for university color codes,I simply did a google search for the university name followed by RGB color codes and started checking the most promising looking links.,White,No,41,Male,Bachelor's degree,"Laborers and helpers (e.g., Attendant, Assistant)",0.5,20,nominal,1,positive,1,0,inaccurate,2,-2,0.3,-0.98,1,nominalpositiveinaccurate,4
9/24/17 19:39,3,,4,2,Telic,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,3,1,1.8,1,1,1,1,5,1,1.8,2,2,2,2,2,1,,2,2,Low,Low,Its more annoying,Google search,White,No,34,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",7,7,nominal,1,negative,2,0,accurate,1,-2,0.06,-0.98,0,nominalnegativeaccurate,1
9/24/17 19:41,,100%,7,1,Telic,5,5,5,5,5,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,3,5,1,5,1.2,5,5,5,5,5,5,5,5,5,5,5,,100%,7,1,Moderate,Not at All/Very Low,I have never done this.,I looked online on different websites.,White,No,20,Female,High school graduate,"Service workers (e.g., Cook, Hairdresser)",3,5,relative,2,positive,1,0,inaccurate,2,0,-0.49,1.24,0,relativepositiveinaccurate,8
10/15/17 15:58,3,,4,2,Telic,4,4,2,4,3.5,4,3,3,2,3,1,2,1,3,3,1,4,2,3,2,4,4,2,4,1,3.5,1.7,2,2,4,2,4,2.8,3,4,4,2,3.25,3,,4,1,Moderate,Not at All/Very Low,most other projects are just surveys answering questions they do not usually include doing a task.,I found the RGB codes by doing a Google search by the Universitys name then RGB code at the end.,White,No,31,Male,Associate's degree,"Craft workers (e.g., Carpenter, Auto Mechanic)",1,12,nominal,1,negative,2,0,accurate,1,0,-0.79,0.52,-1,nominalnegativeaccurate,1
9/24/17 19:46,,60%,5,1,Paratelic,3,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,3,1,2,1,1.6,1.2,2,2,1,1,2,1.6,2,2,2,1,1.75,,40%,4,1,Not at All/Very Low,Low,I haven't done any surveys about RGB codes before,"Google searches for the college's name plus ""RGB code colors""",White,No,26,Female,Bachelor's degree,Other,0,10,relative,2,positive,1,0,inaccurate,2,-1,-0.49,-0.15,0,relativepositiveinaccurate,8
10/17/17 14:31,,80%,6,0,Paratelic,4,3,3,2,3,3,1,3,1,3,3,1,1,3,3,1,3,2,3,2,3,3,1,3,1,3,1.4,2,3,2,2,2,2.2,4,2,4,2,3,,40%,4,0,Not at All/Very Low,Not at All/Very Low,I've never had to find color codes or be timed to find something on Google.,I Googled the codes but could not find exact colors on some.,White,No,45,Female,Bachelor's degree,"Sales workers (e.g., Real Estate Agents, Retail Salesperson)",1,15,relative,2,positive,1,0,inaccurate,2,-2,-0.56,-0.65,0,relativepositiveinaccurate,8
9/24/17 19:46,,60%,5,3,Paratelic,3,2,2,4,2.75,3,3,1,3,2,3,2,2,1,1,3,2,4,2,3,2,2,2,2,3,1.8,2.8,2,4,3,2,2,2.6,2,2,2,2,2,,40%,4,3,Low,Not at All/Very Low,"Never had to identify any information to do with college university, much less such specific information as the rgb color codes for their school colors","searched for the words"" rgb color codes for....."" then add the name of the college or university",Native Hawaiian or Other Pacific Islander,No,22,Male,"Some college, no degree",Other,1,2,relative,2,positive,1,1,accurate,1,-1,0.16,-0.15,0,relativepositiveaccurate,7
10/11/17 20:19,,40%,4,1,Paratelic,4,3,3,5,3.75,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1.4,1,3,3,3,3,3,3,4,4,4,4,4,,20%,3,0,Low,Not at All/Very Low,I have never had to look up info from Google,1 for each set.,White,No,60,Female,Associate's degree,Other,5,35,relative,2,positive,1,0,inaccurate,2,-1,-1.35,-0.23,-1,relativepositiveinaccurate,8
9/28/17 19:12,,80%,6,2,Telic,5,5,5,5,5,5,3,5,2,3,1,3,1,5,4,3,5,1,4,5,5,5,3,4,1,4.5,2.3,4,4,4,4,4,4,5,4,3,5,4.25,,60%,5,1,High,Not at All/Very Low,I have never participated in a hit on MTurk that required me to search for specific information. ,I googled ‰ÛÏRGB codes for ______ University‰Ûù,White,No,28,Female,"Some college, no degree",Other,7,1,relative,2,positive,1,0,inaccurate,2,-1,-0.79,0.1,-1,relativepositiveinaccurate,8
10/17/17 14:48,3,,4,1,Telic,3,2,2,4,2.75,1,1,2,3,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1.1,1.6,4,4,3,4,4,3.8,2,2,2,2,2,2,,3,1,Moderate,Low,"Usually, the projects aren't on such a tight time limit.","I googled the university name plus ""RGB codes"" and looked for a website that was official to the school.",White,No,28,Female,Associate's degree,"Sales workers (e.g., Real Estate Agents, Retail Salesperson)",1,4,nominal,1,negative,2,0,accurate,1,-1,-0.49,-0.23,0,nominalnegativeaccurate,1
9/24/17 20:00,5,,6,3,Telic,2,3,3,4,3,4,2,1,3,1,1,1,1,1,1,2,5,1,1,2,3,5,2,5,1,2.7,1.6,3,3,2,2,3,2.6,2,2,3,3,2.5,3,,4,2,Low,Low,I have never researched RGB codes or had this type of setting goal for performance before each task,I googled rgb codes for and then the university name,White,No,44,Female,Associate's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",2,23,nominal,1,negative,2,0,accurate,1,-2,-0.69,-0.65,-1,nominalnegativeaccurate,1
9/24/17 20:07,3,,4,1,Paratelic,3,3,3,2,2.75,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1.1,1.3,2,2,4,2,2,2.4,4,4,4,4,4,2,,3,3,Low,Not at All/Very Low,I almost never have to search for anything on google for other projects.,"I googled ""rgb code [university name]"" and went to their website for the information.",White,No,35,Female,Bachelor's degree,Other,4,13,nominal,1,positive,1,0,inaccurate,2,-1,1.22,-0.23,2,nominalpositiveinaccurate,4
9/24/17 19:57,,40%,4,2,Paratelic,1,3,4,4,3,4,3,2,3,2,1,2,3,4,2,3,5,2,1,3,2,5,2,2,2,2.9,2.4,5,2,4,5,5,4.2,5,4,4,4,4.25,,20%,3,2,Low,Not at All/Very Low,Never had to research rgb values. ,Google searched each team's rgb colors. ,White,No,41,Male,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",9,17,relative,2,negative,2,0,accurate,1,-1,0.06,-0.23,0,relativenegativeaccurate,5
9/24/17 20:00,,80%,6,1,Paratelic,4,4,3,3,3.5,4,1,3,1,1,1,1,1,3,3,1,4,1,3,1,1,4,1,4,1,3,1,2,3,3,2,3,2.6,2,3,3,3,2.75,,60%,5,2,Moderate,Not at All/Very Low,very unusual,by googling,Black or African American,No,32,Female,Graduate or professional degree,"First/mid level officials and managers (e.g., Operations Manager, Vice President)",7,15,relative,2,positive,1,0,inaccurate,2,-1,0.37,0.1,1,relativepositiveinaccurate,8
9/24/17 20:09,4,,5,6,Telic,1,1,1,1,1,3,4,3,4,3,2,2,4,2,3,4,3,2,2,3,4,3,4,3,2,2.9,3.1,1,1,1,1,1,1,2,1,2,2,1.75,6,,7,5,Not at All/Very Low,Not at All/Very Low,I've never done a task that required me to find RGB codes or that required me to search generally for information and type it in within a certain period of time.,"Google search for ""university name"" + ""rgb colors""",White,No,27,Female,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",1,3,nominal,1,negative,2,1,inaccurate,2,2,1.72,2.1,-1,nominalnegativeinaccurate,2
9/24/17 19:56,3,,4,1,Paratelic,5,3,3,5,4,5,1,3,1,3,1,1,1,3,3,1,5,1,5,1,5,3,1,5,1,4,1,5,1,3,1,1,2.2,1,1,1,1,1,1,,2,1,Not at All/Very Low,Not at All/Very Low,"On the first task it claimed that I found the RGB codes for 3 colleges, I only had tine to find one. ",I used Google to find the RGB codes.,White,No,39,Male,Graduate or professional degree,Other,10,17,nominal,1,positive,1,0,inaccurate,2,-2,-0.49,-0.98,0,nominalpositiveinaccurate,4
9/24/17 20:16,,60%,5,4,Telic,2,2,2,4,2.5,2,5,2,2,3,1,2,2,1,1,4,5,1,2,3,4,4,4,5,2,2.9,2.6,4,3,2,3,2,2.8,2,1,4,3,2.5,,40%,4,5,Moderate,Not at All/Very Low,I have never had to search for stuff in this manner in an exam before,"I googled the university and then added ""school color rgb"" in the search term",Asian,No,22,Female,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",3,4,relative,2,negative,2,1,inaccurate,2,-1,1.07,-0.15,1,relativenegativeinaccurate,6
10/1/17 18:40,3,,4,1,Paratelic,3,4,3,1,2.75,4,1,4,2,3,4,1,1,3,4,2,3,5,1,1,4,1,1,1,5,2.8,2.3,5,5,5,5,5,5,5,5,5,5,5,3,,4,1,Very High,Not at All/Very Low,There arnt any projects that ask for me to find rcb codes for colors,I google searched the university name with the term rcb and looked for the information in the previews of the different websites.,Black or African American,No,25,Female,Associate's degree,"Service workers (e.g., Cook, Hairdresser)",5,5,nominal,1,negative,2,0,accurate,1,0,-0.49,0.52,0,nominalnegativeaccurate,1
10/6/17 12:21,,40%,4,0,Telic,4,5,4,5,4.5,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,5,1,5,1,3.4,1,4,5,5,2,5,4.2,5,5,4,4,4.5,,60%,5,0,High,High,,search the color and rgb code,White,No,29,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",5,9,relative,2,positive,1,0,inaccurate,2,1,-0.56,1.27,0,relativepositiveinaccurate,8
9/24/17 20:24,4,,5,1,Telic,4,4,4,5,4.25,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,4,1,3,2,3,4,4,3.2,3,3,3,3,3,3,,4,2,High,Not at All/Very Low,it was too much time consuming to find the rgb code from many,typed the college name and rgb codes for the colors which were given in www.google.com...it took lot of type to find them out ,Asian,No,34,Male,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",7,10,nominal,1,negative,2,0,accurate,1,-1,0.37,-0.15,1,nominalnegativeaccurate,1
9/24/17 20:27,,100%,7,0,Paratelic,1,1,1,3,1.5,3,3,1,2,1,1,1,2,1,1,3,4,1,1,1,1,4,2,4,1,2.1,1.7,1,1,1,1,1,1,1,1,1,1,1,,100%,7,2,Not at All/Very Low,Low,It's usually not so obvious that the task you are told you are going to do is not really what the task is about.,Put in the university name followed by rgb and picked the site that looked most promising.,White,No,58,Female,"Some college, no degree",Other,na,33,relative,2,positive,1,0,inaccurate,2,0,1.16,1.24,2,relativepositiveinaccurate,8
9/24/17 20:37,3,,4,1,Telic,5,5,5,5,5,5,2,5,1,4,1,2,1,4,5,2,5,5,5,2,5,5,2,4,2,4.7,2,5,4,5,1,5,4,5,5,5,5,5,2,,3,2,Low,Not at All/Very Low,This one is different because I was having to look for RGB codes via internet searches.,I used google to look for university color codes. ,White,No,36,Male,Bachelor's degree,"Technicians (e.g., Dental Hygienists, Emergency Medical Technicians)",18,18,nominal,1,positive,1,0,inaccurate,2,-1,0.37,-0.23,1,nominalpositiveinaccurate,4
9/24/17 20:57,,60%,5,1,Telic,4,4,4,4,4,3,2,2,1,1,1,1,1,1,2,1,4,1,1,1,4,4,1,2,1,2.4,1.1,4,4,4,4,4,4,4,4,4,4,4,,80%,6,2,High,Not at All/Very Low,N/A,Google,White,No,34,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",9,12,relative,2,negative,2,0,accurate,1,1,0.37,1.35,1,relativenegativeaccurate,5
9/24/17 21:01,4,,5,5,Telic,5,4,3,5,4.25,3,1,2,2,1,1,1,1,4,2,1,3,2,3,3,4,4,1,5,1,3.1,1.4,2,2,2,2,4,2.4,2,4,4,4,3.5,3,,4,3,Moderate,Low,First project where I was under a time limit to find color codes for colleges,Google and looking through numbers,Asian,No,21,Male,"Some college, no degree","Laborers and helpers (e.g., Attendant, Assistant)",1,3,nominal,1,negative,2,1,inaccurate,2,-1,-0.38,-0.15,-2,nominalnegativeinaccurate,2
9/24/17 21:49,6,,7,2,Telic,3,3,3,5,3.5,5,1,3,1,3,1,1,1,3,3,1,5,1,3,1,5,5,1,3,1,3.8,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,0,Not at All/Very Low,Not at All/Very Low,I have never participated in looking up university colors before.  It was much more difficult than I had initially thought it would be.,"I search google for the university web pages.  
On the second test, I got hung up on Harvard's colors (crimson and gray) but wasted so much time trying to find the RGB for gray, that the timer ran down on me, and I got nothing done!",White,No,46,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",2,25,nominal,1,positive,1,0,inaccurate,2,-4,-1.65,-1.75,-2,nominalpositiveinaccurate,4
9/28/17 15:51,,60%,5,2,Telic,4,4,2,3,3.25,4,1,4,1,3,1,1,1,4,2,1,4,1,5,2,4,4,1,3,1,3.7,1.1,3,1,4,5,4,3.4,4,5,4,5,4.5,,80%,6,2,Moderate,Moderate,,"I looked them up by google searching the school name and ""RGB codes""",White,No,41,Female,Bachelor's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",8,17,relative,2,positive,1,0,inaccurate,2,1,0.06,1.35,0,relativepositiveinaccurate,8
9/28/17 15:55,3,,4,0,Telic,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1.3,2,2,2,2,2,2,1,1,1,1,1,0,,1,0,High,Not at All/Very Low,i have never found RGB codes before for a survey.,"copied and pasted the image into Paint, used color dropper",Asian,No,30,Female,Bachelor's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",2,8,nominal,1,negative,2,0,accurate,1,-3,-0.56,-1.72,0,nominalnegativeaccurate,1
10/17/17 14:30,,60%,5,2,Paratelic,4,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,3,2,1,1,4,2,2,2,1,1.9,1.7,2,2,2,2,4,2.4,3,3,3,3,3,,0%,1,1,Not at All/Very Low,Moderate,,"googled either ""[specific color name] rgb"" or ""[specific university name] official rgb""",White,No,23,Female,"Some college, no degree","Technicians (e.g., Dental Hygienists, Emergency Medical Technicians)",1.3,5,relative,2,negative,2,0,accurate,1,-4,-0.79,-2.39,-1,relativenegativeaccurate,5
9/28/17 15:53,,60%,5,0,Paratelic,4,4,4,4,4,3,1,4,1,1,1,1,1,4,4,1,1,1,1,1,3,3,1,4,1,2.8,1,4,2,4,4,4,3.6,3,4,4,4,3.75,,20%,3,2,Moderate,Low,I rarely receive feedback form my performance,Google,Asian,Yes,42,Female,Bachelor's degree,"Administrative support workers (e.g., Secretary, Dispatcher)",7,18,relative,2,positive,1,0,inaccurate,2,-2,1.16,-0.89,2,relativepositiveinaccurate,8
9/28/17 15:52,,60%,5,2,Paratelic,4,3,5,4,4,3,1,1,2,2,1,1,1,3,2,2,4,1,2,1,4,4,1,4,1,2.9,1.2,3,3,3,3,3,3,3,4,3,3,3.25,,20%,3,2,Low,Moderate,,I searched google for the University+rgb color codes.,White,No,33,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",7,18,relative,2,negative,2,0,accurate,1,-2,0.06,-0.89,0,relativenegativeaccurate,5
